239831-2008;79410000
239832-2008;79410000
239833-2008;30210000,30236000,32412110,48443000,48517000
239834-2008;71356200
239835-2008;44423400
239836-2008;79314000
239837-2008;42111100
239838-2008;90511000
239839-2008;75231240
239840-2008;45211340
239841-2008;34947100
239842-2008;71200000
239843-2008;30199761,42965000,48160000,51612000
239844-2008;34513700
239845-2008;09111400
239846-2008;71000000,71300000,71310000,71320000,71330000
239847-2008;38500000,71600000,71630000,71700000
239848-2008;18830000
239849-2008;79340000
239850-2008;80530000
239851-2008;45000000,45100000,45111200,45111291,45211100,45400000,66000000
239852-2008;38622000
239853-2008;65111000
239854-2008;44200000,44212000,44221000,44221100,45421110,45440000,45441000
239855-2008;18110000
239856-2008;34996000,45259000,50232200
239857-2008;66510000,66513200,66516500
239858-2008;42511000
239859-2008;71541000
239860-2008;31600000
239861-2008;71311300,71313000,71320000,90492000
239862-2008;39300000
239863-2008;92000000
239864-2008;72000000
239865-2008;45252000
239866-2008;79212200
239867-2008;43600000
239868-2008;33000000
239869-2008;90480000
239870-2008;79411000
239871-2008;09100000
239872-2008;45000000
239873-2008;32570000
239874-2008;
239875-2008;33190000
239876-2008;45216120,70112000
239877-2008;79111000
239878-2008;79314000,79415200,79421000,79421100,79421200,80511000
239879-2008;50413200
239880-2008;71311230,71351500
239881-2008;66512220
239882-2008;31170000
239883-2008;09000000,09120000,09310000
239884-2008;31642000
239885-2008;31224200
239886-2008;42968100
239887-2008;90910000
239888-2008;66510000
239889-2008;45000000
239890-2008;98910000
239891-2008;45000000
239892-2008;90524400
239893-2008;03221000,15131490,15220000,15331000,15894300
239894-2008;44421720
239895-2008;72100000,72315100,72514300,72610000
239896-2008;09120000
239897-2008;90511400
239898-2008;50232100
239899-2008;33170000
239900-2008;31710000,38424000
239901-2008;71333000
239902-2008;66510000,66513000,66514110,66516000
239903-2008;64200000,64210000
239904-2008;79411000
239905-2008;45214220
239906-2008;71000000
239907-2008;33600000
239908-2008;32441000,33123210,33195000,33195200
239909-2008;33712000
239910-2008;33000000
239911-2008;45214220
239912-2008;44113320,45220000,45233140,77310000
239913-2008;30210000,45310000,71000000
239914-2008;33100000
239915-2008;85144000
239916-2008;60140000,63710000
239917-2008;45000000
239918-2008;33111000
239919-2008;50118110,98351110
239920-2008;30199761,42965000,48160000,51612000
239921-2008;72000000
239922-2008;33184200
239923-2008;48822000,50312600,72267000
239924-2008;44111700,92312000
239925-2008;71322000
239926-2008;71000000,71311300,71313000,71321100,71400000
239927-2008;45259100,90420000,90481000
239928-2008;71221000
239929-2008;44221200,45312000
239930-2008;71351000
239931-2008;31000000
239932-2008;72000000,72810000,79131000
239933-2008;66510000,66512000,66513000,66513200,66515000,66516000,66516400,66518000
239934-2008;71351000
239935-2008;77200000
239936-2008;45233100
239937-2008;50710000
239938-2008;42418000
239939-2008;48000000
239940-2008;09310000,09323000,45000000,45223220,55523100
239941-2008;15800000,15811200,15811300
239942-2008;19260000
239943-2008;71315400
239944-2008;71221000
239945-2008;50340000
239946-2008;50500000
239947-2008;33115000
239948-2008;09100000,30163100
239949-2008;33183100
239950-2008;79341100,79341200,79970000
239951-2008;75231240
239952-2008;33141125
239953-2008;77211200
239954-2008;33168000
239955-2008;30200000
239956-2008;45221100
239957-2008;71421000
239958-2008;60100000
239959-2008;34121000
239960-2008;50710000,51100000,51110000
239961-2008;71000000
239962-2008;72250000
239963-2008;71311220
239964-2008;71300000
239965-2008;
239966-2008;30121000,30121100,30121200
