9134232;"Biodiesel (B100).";"/";"/"
9135000;"Fuel oils.";"23122000";"Fuel oils."
9135100;"Heating oil.";"23122100";"Heating oil."
9135110;"Low-sulphur combustible oils.";"11300000";"Oil and associated products."
9200000;"Petroleum, coal and oil products.";"10000000";"Coal, lignite, peat and other coal-related products."
9210000;"Lubricating preparations.";"23000000";"Petroleum products and fuels."
;;"23100000";"Refined petroleum products."
;;"23110000";"Light and medium oils and derivate products."
;;"23120000";"Heavy oils and derivate products."
9211000;"Lubricating oils and lubricating agents.";"23123000";"Lubricating oils and lubricating agents."
9211100;"Motor oils.";"23123100";"Motor oils."
9211200;"Compressor lube oils.";"23123200";"Compressor lube oils."
9211300;"Turbine lube oils.";"23123300";"Turbine lube oils."
9211400;"Gear oils.";"23123400";"Gear oils."
9211500;"Reductor oils.";"23123500";"Reductor oils."
9211600;"Oils for use in hydraulic systems and other purposes.";"23123600";"Oils for use in hydraulic systems and other purposes."
9211610;"Liquids for hydraulic purposes.";"23123610";"Liquids for hydraulic purposes."
9211620;"Mould release oils.";"23123620";"Mould release oils."
9211630;"Anti-corrosion oils.";"23123630";"Anti-corrosion oils."
9211640;"Electrical insulating oils.";"23123640";"Electrical insulating oils."
9211650;"Brake fluids.";"23123650";"Brake fluids."
9211700;"White oils and liquid paraffin.";"23123700";"White oils and liquid parafins."
9211710;"White oils.";"23123710";"White oils."
9211720;"Liquid paraffin.";"23123720";"Liquid parafins."
9211800;"Petroleum oils and preparations.";"23130000";"Petroleum oils and preparations."
9211810;"Light oils.";"23132000";"Light oils."
9211820;"Petroleum oils.";"23133000";"Petroleum oils."
9211900;"Lubricating traction oils.";"/";"/"
9220000;"Petroleum jelly, waxes and special spirits.";"23000000";"Petroleum products and fuels."
;;"23100000";"Refined petroleum products."
;;"23110000";"Light and medium oils and derivate products."
9221000;"Petroleum jelly and waxes.";"23300000";"Miscellaneous petroleum products."
;"#N/A";"23310000";"Petroleum jelly and waxes."
9221100;"Petroleum jelly.";"23311000";"Petroleum jelly."
9221200;"Paraffin wax.";"23312000";"Paraffin wax."
9221300;"Petroleum wax.";"23313000";"Petroleum wax."
9221400;"Petroleum residues.";"23320000";"Petroleum residues."
9222000;"Special spirits.";"23112000";"Special spirits."
9222100;"White spirit.";"23112100";"White spirit."
9230000;"Petroleum (crude).";"11100000";"Petroleum (crude)."
9240000;"Oil and Coal-related products.";"10000000";"Coal, lignite, peat and other coal-related products."
9241000;"Bituminous or oil shale.";"11310000";"Bituminous or oil shale."
9242000;"Coal-related products.";"10300000";"Coal-related products."
9242100;"Coal oil.";"10310000";"Coal oil."
9300000;"Electricity, heating, solar and nuclear energy.";"/";"/"
9310000;"Electricity.";"40100000";"Electricity."
9320000;"Steam, hot water and associated products.";"40300000";"Steam, hot water and associated products."
9321000;"Hot water.";"40310000";"Hot water."
9322000;"Steam.";"40320000";"Steam."
9323000;"District heating.";"40330000";"District heating."
9324000;"Long-distance heating.";"40340000";"Long-distance heating."
9330000;"Solar energy.";"40400000";"Solar energy."
9331000;"Solar panels.";"40410000";"Solar panels."
9331100;"Solar collectors for heat production.";"40411000";"Solar collectors for heat production."
9331200;"Solar photovoltaic modules.";"40412000";"Solar photovoltaic modules."
9332000;"Solar installation.";"40420000";"Solar installation."
9340000;"Nuclear fuels.";"40500000";"Nuclear fuels."
9341000;"Uranium.";"40510000";"Uranium."
9342000;"Plutonium.";"40520000";"Plutonium."
9343000;"Radioactive materials.";"40530000";"Radioactive materials."
9344000;"Radio-isotopes.";"40540000";"Radio-isotopes."
14000000;"Mining, basic metals and related products.";"14000000";"Mining, quarrying and other associated products."
14200000;"Sand and clay.";"14200000";"Sand and clay."
14210000;"Gravel, sand, crushed stone and aggregates.";"14210000";"Gravel, sand, crushed stone and aggregates."
14211000;"Sand.";"14211000";"Sand."
14211100;"Natural sand.";"14211100";"Natural sand."
14212000;"Granules, chippings, stone powder, pebbles, gravel, broken and crushed stone, stone mixtures, sand-gravel mixtures and other aggregates.";"14212000";"Granules, chippings, stone powder, pebbles, gravel, broken and crushed stone, stone mixtures, sand-gravel mixtures and other aggregates."
14212100;"Pebbles and gravel.";"14212100";"Pebbles and gravel."
14212110;"Pebbles.";"14212110";"Pebbles."
14212120;"Gravel.";"14212120";"Gravel."
14212200;"Aggregates.";"14212200";"Aggregates."
14212210;"Sand-gravel mix.";"14212210";"Sand-gravel mix."
14212300;"Broken and crushed stone.";"14212300";"Broken and crushed stone."
14212310;"Ballast.";"14212310";"Ballast."
14212320;"Crushed granite.";"14212320";"Crushed granite."
14212330;"Crushed basalt.";"14212330";"Crushed basalt."
14212400;"Soil.";"14212400";"Soil."
14212410;"Topsoil.";"14212410";"Topsoil."
14212420;"Subsoil.";"14212420";"Subsoil."
14212430;"Stone chippings.";"14212430";"Stone chippings."
14213000;"Macadam, tarmac and tar sands.";"14213000";"Macadam, tarred macadam and tar sands."
14213100;"Macadam.";"14213100";"Macadam."
14213200;"Tarmac.";"14213200";"Tarred macadam."
14213300;"Tar sands.";"14213300";"Tar sands."
14220000;"Clay and kaolin.";"14220000";"Clay and kaolin."
14221000;"Clay.";"14221000";"Clay."
14222000;"Kaolin.";"14222000";"Kaolin."
14300000;"Chemical and fertiliser minerals.";"14300000";"Chemical and fertiliser minerals."
14310000;"Fertiliser minerals.";"14310000";"Fertiliser minerals."
14311000;"Natural calcium, aluminium calcium phosphate and crude natural potassium salts.";"14311000";"Natural calcium, aluminium calcium phosphate and crude natural potassium salts."
14311100;"Natural calcium.";"14311100";"Natural calcium."
14311200;"Aluminium calcium phosphates.";"14311200";"Aluminium calcium phosphates."
14311300;"Crude natural potassium salts.";"14311300";"Crude natural potassium salts."
14312000;"Iron pyrites.";"14312000";"Iron pyrites."
14312100;"Unroasted iron pyrites.";"14312100";"Unroasted iron pyrites."
14320000;"Chemical minerals.";"14320000";"Chemical minerals."
14400000;"Salt and pure sodium chloride.";"14400000";"Salt and pure sodium chloride."
14410000;"Rock salt.";"14410000";"Rock salt."
14420000;"Sea salt.";"14420000";"Sea salt."
14430000;"Evaporated salt and pure sodium chloride.";"14430000";"Evaporated salt and pure sodium chloride."
14450000;"Salt in brine.";"14450000";"Salt in brine."
14500000;"Related mining and quarrying products.";"14500000";"Related mining and quarrying products."
14520000;"Precious and semi-precious stones; pumice stone; emery; natural abrasives; other minerals and precious metals.";"14520000";"Precious and semi-precious stones; pumice stone; emery; natural abrasives; other minerals and precious metals."
14521000;"Precious and semi-precious stones.";"14521000";"Precious and semi-precious stones."
14521100;"Precious stones.";"14521100";"Precious stones."
14521140;"Dust or powder of precious stones.";"14521140";"Dust or powder of precious stones."
14521200;"Semi-precious stones.";"14521200";"Semi-precious stones."
14521210;"Dust or powder of semi-precious stones.";"14521210";"Dust or powder of semi-precious stones."
14522000;"Industrial diamonds; pumice stone; emery and other natural abrasives.";"14522000";"Industrial diamonds; pumice stone; emery and other natural abrasives."
14522100;"Pumice stone.";"14522100";"Pumice stone."
14522200;"Industrial diamonds.";"14522200";"Industrial diamonds."
14522300;"Emery.";"14522300";"Emery."
14522400;"Natural abrasives.";"14522400";"Natural abrasives."
14523000;"Related minerals, precious metals and associated products.";"14523000";"Related minerals, precious metals and associated products."
;;"27400000";"Precious metals and metals clad with precious metals."
;;"27410000";"Precious metals."
;;"27411000";"Unwrought semi-precious products."
;;"27414000";"Waste and scrap of precious metals."
14523100;"Minerals.";"14523100";"Minerals."
14523200;"Gold.";"14523200";"Gold."
;;"27412000";"Unwrought or powdered gold."
14523300;"Silver.";"14523300";"Silver."
;"#N/A";"27411100";"Unwrought or powdered silver."
;"#N/A";"27411110";"Silver powder."
;"#N/A";"27411120";"Unwrought silver."
;"#N/A";"27411200";"Semi-manufactured silver."
14523400;"Platinum.";"14523400";"Platinum."
;;"27413000";"Unwrought or powdered platinum."
14600000;"Metal ores and alloys.";"/";"/"
14610000;"Metal ores.";"13000000";"Metal ores."
14611000;"Iron ores.";"13100000";"Iron ores."
14612000;"Non-ferrous metal ores.";"13200000";"Non-ferrous metal ores."
;;"27800000";"Non-ferrous metal products."
14612100;"Copper ores.";"13210000";"Copper ores."
14612200;"Nickel ores.";"13220000";"Nickel ores."
14612300;"Aluminium ores.";"13230000";"Aluminium ores."
14612400;"Precious-metal ores.";"13240000";"Precious-metal ores."
14612500;"Lead ores.";"13250000";"Lead ores."
14612600;"Zinc ores.";"13260000";"Zinc ores."
14612700;"Tin ores.";"13270000";"Tin ores."
14613000;"Uranium and thorium ores.";"12000000";"Uranium and thorium ores."
14613100;"Uranium ores.";"12100000";"Uranium ores."
14613200;"Thorium ores.";"12200000";"Thorium ores."
14614000;"Miscellaneous ores.";"13300000";"Miscellaneous ores."
14621000;"Ferro-alloys.";"27350000";"Ferro-alloys."
